name,slug,value,date_of_information,ranking,region
"Gambia, The","gambia-the","2,413,403","2022 est.","144","Africa"
"Botswana","botswana","2,384,246","2022 est.","145","Africa"
"Gabon","gabon","2,340,613","2022 est.","146","Africa"
"Lesotho","lesotho","2,193,970","2022 est.","147","Africa"
"North Macedonia","north-macedonia","2,130,936","2022 est.","148","Europe"
"Slovenia","slovenia","2,101,208","2022 est.","149","Europe"
"Guinea-Bissau","guinea-bissau","2,026,778","2022 est.","150","Africa"
"Gaza Strip","gaza-strip","1,997,328","2022 est.","151","Middle East"
"Kosovo","kosovo","1,952,701","2022 est.","152","Europe"
"Latvia","latvia","1,842,226","2022 est.","153","Europe"
"Equatorial Guinea","equatorial-guinea","1,679,172","2022 est.","154","Africa"
"Bahrain","bahrain","1,540,558","2022 est.","155","Middle East"
"Timor-Leste","timor-leste","1,445,006","2022 est.","156","East and Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","1,405,646","2022 est.","157","Central America and the Caribbean"
"Mauritius","mauritius","1,308,222","2022 est.","158","Africa"
"Cyprus","cyprus","1,295,102","2022 est.","159","Europe"
"Estonia","estonia","1,211,524","2022 est.","160","Europe"
"Eswatini","eswatini","1,121,761","2022 est.","161","Africa"
"Djibouti","djibouti","957,273","2022 est.","162","Africa"
"Fiji","fiji","943,737","2022 est.","163","Australia and Oceania"
"Comoros","comoros","876,437","2022 est.","164","Africa"
"Bhutan","bhutan","867,775","2022 est.","165","South Asia"
"Guyana","guyana","789,683","2022 est.","166","South America"
"Solomon Islands","solomon-islands","702,694","2022 est.","167","Australia and Oceania"
"Luxembourg","luxembourg","650,364","2022 est.","168","Europe"
"Macau","macau","635,293","2022 est.","169","East and Southeast Asia"
"Suriname","suriname","632,638","2022 est.","170","South America"
"Montenegro","montenegro","604,966","2022 est.","171","Europe"
"Cabo Verde","cabo-verde","596,707","2022 est.","172","Africa"
"Brunei","brunei","478,054","2022 est.","173","East and Southeast Asia"
"Malta","malta","464,186","2022 est.","174","Europe"
"Belize","belize","412,387","2022 est.","175","Central America and the Caribbean"
"Maldives","maldives","390,164","2022 est.","176","South Asia"
"Iceland","iceland","357,603","2022 est.","177","Europe"
"Bahamas, The","bahamas-the","355,608","2022 est.","178","Central America and the Caribbean"
"Vanuatu","vanuatu","308,043","2022 est.","179","Australia and Oceania"
"Barbados","barbados","302,674","2022 est.","180","Central America and the Caribbean"
"French Polynesia","french-polynesia","299,356","2022 est.","181","Australia and Oceania"
"New Caledonia","new-caledonia","297,160","2022 est.","182","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","217,164","2022 est.","183","Africa"
"Samoa","samoa","206,179","2022 est.","184","Australia and Oceania"
"Guam","guam","169,086","2022 est.","185","Australia and Oceania"
"Saint Lucia","saint-lucia","167,122","2022 est.","186","Central America and the Caribbean"
"Curacao","curacao","152,379","2022 est.","187","Central America and the Caribbean"
"Aruba","aruba","122,320","2022 est.","188","Central America and the Caribbean"
"Kiribati","kiribati","114,189","2022 est.","189","Australia and Oceania"
"Grenada","grenada","113,949","2022 est.","190","Central America and the Caribbean"
"Tonga","tonga","105,517","2022 est.","191","Australia and Oceania"
"Virgin Islands","virgin-islands","105,413","2022 est.","192","Central America and the Caribbean"
"Jersey","jersey","102,146","2022 est.","193","Europe"
"Micronesia, Federated States of","micronesia-federated-states-of","101,009","2022 est.","194","Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","100,969","2022 est.","195","Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","100,335","2022 est.","196","Central America and the Caribbean"
"Seychelles","seychelles","97,017","2022 est.","197","Africa"
"Isle of Man","isle-of-man","91,382","2022 est.","198","Europe"
"Andorra","andorra","85,560","2022 est.","199","Europe"
"Marshall Islands","marshall-islands","79,906","2022 est.","200","Australia and Oceania"
"Dominica","dominica","74,629","2022 est.","201","Central America and the Caribbean"
"Bermuda","bermuda","72,337","2022 est.","202","North America"
"Guernsey","guernsey","67,491","2022 est.","203","Europe"
"Cayman Islands","cayman-islands","64,309","2022 est.","204","Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","58,286","2022 est.","205","Central America and the Caribbean"
"Greenland","greenland","57,792","2022 est.","206","North America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","54,488","2022 est.","207","Central America and the Caribbean"
"Faroe Islands","faroe-islands","52,269","2022 est.","208","Europe"
"Northern Mariana Islands","northern-mariana-islands","51,475","2022 est.","209","Australia and Oceania"
"American Samoa","american-samoa","45,443","2022 est.","210","Australia and Oceania"
"Sint Maarten","sint-maarten","45,126","2022 est.","211","Central America and the Caribbean"
"Liechtenstein","liechtenstein","39,711","2022 est.","212","Europe"
"British Virgin Islands","british-virgin-islands","38,632","2022 est.","213","Central America and the Caribbean"
"San Marino","san-marino","34,682","2022 est.","214","Europe"
"Saint Martin","saint-martin","32,792","2022 est.","215","Central America and the Caribbean"
"Monaco","monaco","31,400","2022 est.","216","Europe"
"Gibraltar","gibraltar","29,573","2022 est.","217","Europe"
"Palau","palau","21,695","2022 est.","218","Australia and Oceania"
"Anguilla","anguilla","18,741","2022 est.","219","Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","15,891","2022 est.","220","Australia and Oceania"
"Tuvalu","tuvalu","11,544","2022 est.","221","Australia and Oceania"
"Nauru","nauru","9,811","2022 est.","222","Australia and Oceania"
"Cook Islands","cook-islands","8,128","2022 est.","223","Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","7,925","2022 est.","224","Africa"
"Saint Barthelemy","saint-barthelemy","7,103","2022 est.","225","Central America and the Caribbean"
"Montserrat","montserrat","5,414","2022 est.","226","Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","5,257","2022 est.","227","North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","3,198","2016 est.","228","South America"
"Svalbard","svalbard","2,926","January 2021 est.","229","Europe"
"Christmas Island","christmas-island","2,205","2016 est.","230","Australia and Oceania"
"Niue","niue","2,000","July 2022 est.","231","Australia and Oceania"
"Norfolk Island","norfolk-island","1,748","2016 est.","232","Australia and Oceania"
"Tokelau","tokelau","1,647","2019 est.","233","Australia and Oceania"
"Paracel Islands","paracel-islands","1,440","July 2014 est.","234","East and Southeast Asia"
"Holy See (Vatican City)","holy-see-vatican-city","1,000","2022 est.","235","Europe"
"Cocos (Keeling) Islands","cocos-keeling-islands","596","July 2014 est.","236","Australia and Oceania"
"Pitcairn Islands","pitcairn-islands","50","2021 est.","237","Australia and Oceania"
